Source protein	Target protein	Source gene	Target gene	Supportability	Mean MR	Function
von Willebrand factor	Cadherin-5	VWF	CDH5	3	210.3375	cadherin 5
Vascular endothelial growth factor D	Cadherin-5	VEGFD	CDH5	3	7098.967500000001	cadherin 5
Vascular cell adhesion protein 1	Cadherin-5	VCAM1	CDH5	3	7609.2925	cadherin 5
Vasorin	Cadherin-5	VASN	CDH5	3	7451.344999999999	cadherin 5
Tumor necrosis factor receptor superfamily member 1B	Cadherin-5	TNFRSF1B	CDH5	3	5594.26	cadherin 5
Metalloproteinase inhibitor 4	Cadherin-5	TIMP4	CDH5	3	6905.384999999999	cadherin 5
Thrombospondin-4	Cadherin-5	THBS4	CDH5	3	6535.615	cadherin 5
Thrombomodulin	Cadherin-5	THBD	CDH5	3	3982.835	cadherin 5
Tissue_factor_pathway_inhibitor	Cadherin-5	TFPI	CDH5	3	6362.7125	cadherin 5
SPARC	Cadherin-5	SPARC	CDH5	3	5187.525	cadherin 5
Plasma protease C1 inhibitor	Cadherin-5	SERPING1	CDH5	3	6439.617499999999	cadherin 5
Pigment epithelium-derived factor	Cadherin-5	SERPINF1	CDH5	3	8428.985	cadherin 5
Plasminogen activator inhibitor 1	Cadherin-5	SERPINE1	CDH5	3	7745.025	cadherin 5
Plasma serine protease inhibitor	Cadherin-5	SERPINA5	CDH5	3	7323.775	cadherin 5
Alpha-1-antichymotrypsin	Cadherin-5	SERPINA3	CDH5	3	8016.7375	cadherin 5
P-selectin	Cadherin-5	SELP	CDH5	3	3429.225	cadherin 5
L-selectin	Cadherin-5	SELL	CDH5	3	8090.797500000001	cadherin 5
Protein S100-B	Cadherin-5	S100B	CDH5	3	8156.2575	cadherin 5
Protein S100-A9	Cadherin-5	S100A9	CDH5	3	8816.755000000001	cadherin 5
Protein S100-A12	Cadherin-5	S100A12	CDH5	3	9116.2025	cadherin 5
Retinol-binding protein 4	Cadherin-5	RBP4	CDH5	3	7529.5975	cadherin 5
Vitamin K-dependent protein S	Cadherin-5	PROS1	CDH5	3	8109.385	cadherin 5
Endothelial protein C receptor	Cadherin-5	PROCR	CDH5	3	5750.7525000000005	cadherin 5
Serum paraoxonase/lactonase 3	Cadherin-5	PON3	CDH5	3	7606.2225	cadherin 5
Phospholipid transfer protein	Cadherin-5	PLTP	CDH5	3	7715.33	cadherin 5
Platelet-activating factor acetylhydrolase	Cadherin-5	PLA2G7	CDH5	3	9028.265	cadherin 5
Platelet endothelial cell adhesion molecule	Cadherin-5	PECAM1	CDH5	3	526.725	cadherin 5
Neuropilin-2	Cadherin-5	NRP2	CDH5	3	5872.047500000001	cadherin 5
Atrial natriuretic peptide receptor 1	Cadherin-5	NPR1	CDH5	3	1172.755	cadherin 5
72 KDa type IV collagenase	Cadherin-5	MMP2	CDH5	3	4986.345	cadherin 5
Matrix Gla protein	Cadherin-5	MGP	CDH5	3	4655.4675	cadherin 5
Mannan-binding lectin serine protease 1	Cadherin-5	MASP1	CDH5	3	6785.754999999999	cadherin 5
Lumican	Cadherin-5	LUM	CDH5	3	8201.1625	cadherin 5
Endothelial lipase	Cadherin-5	LIPG	CDH5	3	7228.7875	cadherin 5
Lipopolysaccharide-binding protein	Cadherin-5	LBP	CDH5	3	7483.08	cadherin 5
Interleukin-6	Cadherin-5	IL6	CDH5	3	8475.4075	cadherin 5
Insulin-like growth factor-binding protein 3	Cadherin-5	IGFBP3	CDH5	3	8086.3675	cadherin 5
Insulin-like growth factor-binding protein 2	Cadherin-5	IGFBP2	CDH5	3	7513.245	cadherin 5
Insulin-like growth factor I	Cadherin-5	IGF1	CDH5	3	6138.115	cadherin 5
Haptoglobin	Cadherin-5	HP	CDH5	3	8319.295	cadherin 5
Hemoglobin subunit alpha	Cadherin-5	HBA1	CDH5	3	9125.05	cadherin 5
Glutathione peroxidase 3	Cadherin-5	GPX3	CDH5	3	5365.9375	cadherin 5
Follistatin-related protein 1	Cadherin-5	FSTL1	CDH5	3	7900.8825	cadherin 5
Fibronectin	Cadherin-5	FN1	CDH5	3	6997.25	cadherin 5
Ficolin-3	Cadherin-5	FCN3	CDH5	3	1470.4875000000002	cadherin 5
