diseaseName	diseaseClass	disease
Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Food Poisoning	C25	Заболевания вследствие воздействия химических веществ
Foodborne Disease	C25	Заболевания вследствие воздействия химических веществ
Drug Overdose	C25	Заболевания вследствие воздействия химических веществ
Mercury Poisoning	C25	Заболевания вследствие воздействия химических веществ
Organophosphorus Poisoning	C25	Заболевания вследствие воздействия химических веществ
Organophosphate poisoning	C25	Заболевания вследствие воздействия химических веществ
Organothiophosphonate Poisoning	C25	Заболевания вследствие воздействия химических веществ
Organothiophosphate Poisoning	C25	Заболевания вследствие воздействия химических веществ
Toxic effect of carbon tetrachloride	C25	Заболевания вследствие воздействия химических веществ
Lead Poisoning	C25	Заболевания вследствие воздействия химических веществ
Drug Eruptions	C25	Заболевания вследствие воздействия химических веществ
Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Morbilliform Drug Reaction	C25	Заболевания вследствие воздействия химических веществ
Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Substance Withdrawal Syndrome	C25	Заболевания вследствие воздействия химических веществ
Drug Withdrawal Symptoms	C25	Заболевания вследствие воздействия химических веществ
Withdrawal Symptoms	C25	Заболевания вследствие воздействия химических веществ
Arsenic Poisoning, Inorganic	C25	Заболевания вследствие воздействия химических веществ
Nervous System, Organic Arsenic Poisoning	C25	Заболевания вследствие воздействия химических веществ
Arsenic Poisoning	C25	Заболевания вследствие воздействия химических веществ
Arsenic Encephalopathy	C25	Заболевания вследствие воздействия химических веществ
Arsenic Induced Polyneuropathy	C25	Заболевания вследствие воздействия химических веществ
Alcohol abuse	C25	Заболевания вследствие воздействия химических веществ
Alcoholic Intoxication	C25	Заболевания вследствие воздействия химических веществ
Liver Cirrhosis, Alcoholic	C25	Заболевания вследствие воздействия химических веществ
Cardiotoxicity	C25	Заболевания вследствие воздействия химических веществ
Cocaine Abuse	C25	Заболевания вследствие воздействия химических веществ
Cocaine-Related Disorders	C25	Заболевания вследствие воздействия химических веществ
Cocaine Dependence	C25	Заболевания вследствие воздействия химических веществ
Alcoholic Liver Diseases	C25	Заболевания вследствие воздействия химических веществ
Alcohol Use Disorder	C25	Заболевания вследствие воздействия химических веществ
Alcoholic Intoxication, Chronic	C25	Заболевания вследствие воздействия химических веществ
Toxic Epidermal Necrolysis	C25	Заболевания вследствие воздействия химических веществ
Serum Sickness	C25	Заболевания вследствие воздействия химических веществ
Stevens-Johnson Syndrome	C25	Заболевания вследствие воздействия химических веществ
Drug-Induced Stevens Johnson Syndrome	C25	Заболевания вследствие воздействия химических веществ
Mycoplasma-Induced Stevens-Johnson Syndrome	C25	Заболевания вследствие воздействия химических веществ
Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum	C25	Заболевания вследствие воздействия химических веществ
Encephalopathy, Toxic	C25	Заболевания вследствие воздействия химических веществ
Toxic Encephalitis	C25	Заболевания вследствие воздействия химических веществ
Neurotoxicity Syndromes	C25	Заболевания вследствие воздействия химических веществ
Amphetamine-Related Disorders	C25	Заболевания вследствие воздействия химических веществ
Amphetamine Addiction	C25	Заболевания вследствие воздействия химических веществ
Amphetamine Abuse	C25	Заболевания вследствие воздействия химических веществ
Heroin Dependence	C25	Заболевания вследствие воздействия химических веществ
heroin abuse	C25	Заболевания вследствие воздействия химических веществ
Heroin Smoking	C25	Заболевания вследствие воздействия химических веществ
Cardiomyopathy, Alcoholic	C25	Заболевания вследствие воздействия химических веществ
Opioid-Related Disorders	C25	Заболевания вследствие воздействия химических веществ
Opioid abuse	C25	Заболевания вследствие воздействия химических веществ
Narcotic Abuse	C25	Заболевания вследствие воздействия химических веществ
Opiate Addiction	C25	Заболевания вследствие воздействия химических веществ
Narcotic Dependence	C25	Заболевания вследствие воздействия химических веществ
Opiate Abuse	C25	Заболевания вследствие воздействия химических веществ
Marijuana Abuse	C25	Заболевания вследствие воздействия химических веществ
Drug Allergy	C25	Заболевания вследствие воздействия химических веществ
Nicotine Dependence	C25	Заболевания вследствие воздействия химических веществ
Tobacco Dependence	C25	Заболевания вследствие воздействия химических веществ
Drug-induced depressive state	C25	Заболевания вследствие воздействия химических веществ
Nicotine Use Disorder	C25	Заболевания вследствие воздействия химических веществ
Minamata Disease	C25	Заболевания вследствие воздействия химических веществ
Inorganic Mercury Poisoning	C25	Заболевания вследствие воздействия химических веществ
Mercury Poisoning, Organic	C25	Заболевания вследствие воздействия химических веществ
Mercury Poisoning, Nervous System	C25	Заболевания вследствие воздействия химических веществ
Mercury Encephalopathy	C25	Заболевания вследствие воздействия химических веществ
Mad Hatter Disease	C25	Заболевания вследствие воздействия химических веществ
Mercurial Neuroanesthenia	C25	Заболевания вследствие воздействия химических веществ
Mercury Psychosis	C25	Заболевания вследствие воздействия химических веществ
Alcohol withdrawal syndrome	C25	Заболевания вследствие воздействия химических веществ
Alcohol-Related Disorders	C25	Заболевания вследствие воздействия химических веществ
Drug abuse	C25	Заболевания вследствие воздействия химических веществ
Drug habituation	C25	Заболевания вследствие воздействия химических веществ
Drug Use Disorders	C25	Заболевания вследствие воздействия химических веществ
Organic Mental Disorders, Substance-Induced	C25	Заболевания вследствие воздействия химических веществ
Substance Dependence	C25	Заболевания вследствие воздействия химических веществ
Substance Use Disorders	C25	Заболевания вследствие воздействия химических веществ
Substance-Related Disorders	C25	Заболевания вследствие воздействия химических веществ
Substance abuse problem	C25	Заболевания вследствие воздействия химических веществ
Drug Dependence	C25	Заболевания вследствие воздействия химических веществ
Prescription Drug Abuse	C25	Заболевания вследствие воздействия химических веществ
Morphine Dependence	C25	Заболевания вследствие воздействия химических веществ
Morphine Abuse	C25	Заболевания вследствие воздействия химических веществ
Psychoses, Drug	C25	Заболевания вследствие воздействия химических веществ
Psychoses, Substance-Induced	C25	Заболевания вследствие воздействия химических веществ
Cannabis Dependence	C25	Заболевания вследствие воздействия химических веществ
Dyskinesia, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
