source	target	diseaseName
Alpha-1-acid glycoprotein 1	Заболевания вследствие воздействия химических веществ	Drug toxicity
Alpha-1-acid glycoprotein 1	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Alpha-1-antitrypsin	Заболевания вследствие воздействия химических веществ	Drug toxicity
Alpha-1-antitrypsin	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Alpha-2-HS-glycoprotein	Заболевания вследствие воздействия химических веществ	Drug toxicity
Alpha-2-HS-glycoprotein	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Beta-2-microglobulin	Заболевания вследствие воздействия химических веществ	Drug toxicity
Beta-2-microglobulin	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Cystatin-C	Заболевания вследствие воздействия химических веществ	Drug toxicity
Cystatin-C	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Fibrinogen alpha chain	Заболевания вследствие воздействия химических веществ	Drug toxicity
Fibrinogen alpha chain	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Haptoglobin	Заболевания вследствие воздействия химических веществ	Drug toxicity
Haptoglobin	Заболевания вследствие воздействия химических веществ	Food Poisoning
Haptoglobin	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Haptoglobin	Заболевания вследствие воздействия химических веществ	Foodborne Disease
Hemopexin	Заболевания вследствие воздействия химических веществ	Drug toxicity
Hemopexin	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Insulin-like growth factor-binding protein 1	Заболевания вследствие воздействия химических веществ	Drug toxicity
Insulin-like growth factor-binding protein 1	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Plasminogen	Заболевания вследствие воздействия химических веществ	Drug toxicity
Plasminogen	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Serotransferrin	Заболевания вследствие воздействия химических веществ	Drug toxicity
Serotransferrin	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Serum albumin	Заболевания вследствие воздействия химических веществ	Drug toxicity
Serum albumin	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Transthyretin	Заболевания вследствие воздействия химических веществ	Drug toxicity
Transthyretin	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Angiotensinogen	Заболевания вследствие воздействия химических веществ	Drug Overdose
Complement C2	Заболевания вследствие воздействия химических веществ	Drug toxicity
Complement C2	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Vitamin D-binding protein	Заболевания вследствие воздействия химических веществ	Drug toxicity
Vitamin D-binding protein	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Afamin	Заболевания вследствие воздействия химических веществ	Drug toxicity
Afamin	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Apolipoprotein E	Заболевания вследствие воздействия химических веществ	Mercury Poisoning
cDNA FLJ53327, highly similar to Gelsolin	Заболевания вследствие воздействия химических веществ	Drug toxicity
cDNA FLJ53327, highly similar to Gelsolin	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Cholesteryl ester transfer protein	Заболевания вследствие воздействия химических веществ	Drug toxicity
Cholesteryl ester transfer protein	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Cholesteryl ester transfer protein	Заболевания вследствие воздействия химических веществ	Organophosphorus Poisoning
Cholesteryl ester transfer protein	Заболевания вследствие воздействия химических веществ	Organophosphate poisoning
Cholesteryl ester transfer protein	Заболевания вследствие воздействия химических веществ	Organothiophosphonate Poisoning
Cholesteryl ester transfer protein	Заболевания вследствие воздействия химических веществ	Organothiophosphate Poisoning
Claudin-5	Заболевания вследствие воздействия химических веществ	Drug toxicity
Claudin-5	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Insulin-like growth factor I	Заболевания вследствие воздействия химических веществ	Drug toxicity
Insulin-like growth factor I	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Lactotransferrin	Заболевания вследствие воздействия химических веществ	Toxic effect of carbon tetrachloride
Matrix metalloproteinase-9	Заболевания вследствие воздействия химических веществ	Lead Poisoning
Neutrophil gelatinase-associated lipocalin	Заболевания вследствие воздействия химических веществ	Drug toxicity
Neutrophil gelatinase-associated lipocalin	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Osteopontin	Заболевания вследствие воздействия химических веществ	Drug toxicity
Osteopontin	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Protein AMBP	Заболевания вследствие воздействия химических веществ	Drug toxicity
Protein AMBP	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Serum paraoxonase/arylesterase 1	Заболевания вследствие воздействия химических веществ	Organophosphorus Poisoning
Serum paraoxonase/arylesterase 1	Заболевания вследствие воздействия химических веществ	Organophosphate poisoning
Serum paraoxonase/arylesterase 1	Заболевания вследствие воздействия химических веществ	Organothiophosphonate Poisoning
Serum paraoxonase/arylesterase 1	Заболевания вследствие воздействия химических веществ	Organothiophosphate Poisoning
Thrombomodulin	Заболевания вследствие воздействия химических веществ	Drug toxicity
Thrombomodulin	Заболевания вследствие воздействия химических веществ	Adverse reaction to drug
Xaa-Pro dipeptidase	Заболевания вследствие воздействия химических веществ	Organophosphorus Poisoning
Xaa-Pro dipeptidase	Заболевания вследствие воздействия химических веществ	Organophosphate poisoning
Xaa-Pro dipeptidase	Заболевания вследствие воздействия химических веществ	Organothiophosphonate Poisoning
Xaa-Pro dipeptidase	Заболевания вследствие воздействия химических веществ	Organothiophosphate Poisoning
Apolipoprotein A-I	Заболевания вследствие воздействия химических веществ	Drug Eruptions
Apolipoprotein A-I	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Apolipoprotein A-I	Заболевания вследствие воздействия химических веществ	Morbilliform Drug Reaction
Apolipoprotein A-I	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Apolipoprotein A-I	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Apolipoprotein A-I	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Apolipoprotein A-I	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Apolipoprotein A-I	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Biotinidase	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Biotinidase	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Biotinidase	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Biotinidase	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Biotinidase	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Biotinidase	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
C-reactive protein	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
C-reactive protein	Заболевания вследствие воздействия химических веществ	Substance Withdrawal Syndrome
C-reactive protein	Заболевания вследствие воздействия химических веществ	Drug Withdrawal Symptoms
C-reactive protein	Заболевания вследствие воздействия химических веществ	Withdrawal Symptoms
C-reactive protein	Заболевания вследствие воздействия химических веществ	Arsenic Poisoning, Inorganic
C-reactive protein	Заболевания вследствие воздействия химических веществ	Nervous System, Organic Arsenic Poisoning
C-reactive protein	Заболевания вследствие воздействия химических веществ	Arsenic Poisoning
C-reactive protein	Заболевания вследствие воздействия химических веществ	Arsenic Encephalopathy
C-reactive protein	Заболевания вследствие воздействия химических веществ	Arsenic Induced Polyneuropathy
C-reactive protein	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
C-reactive protein	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
C-reactive protein	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
C-reactive protein	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
C-reactive protein	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Creatine kinase B-type	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Creatine kinase B-type	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Creatine kinase B-type	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Creatine kinase B-type	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Creatine kinase B-type	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Creatine kinase B-type	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Fibrinogen alpha chain	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Fibrinogen alpha chain	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Fibrinogen alpha chain	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Fibrinogen alpha chain	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Fibrinogen alpha chain	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Fibrinogen alpha chain	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
