Protein	geneSymbol	diseaseName	diseaseClass	disease
Alpha-1-acid glycoprotein 1	ORM1	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Alpha-1-acid glycoprotein 1	ORM1	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Alpha-1-antitrypsin	SERPINA1	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Alpha-1-antitrypsin	SERPINA1	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Alpha-2-HS-glycoprotein	AHSG	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Alpha-2-HS-glycoprotein	AHSG	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Beta-2-microglobulin	B2M	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Beta-2-microglobulin	B2M	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Ceruloplasmin	CP	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Ceruloplasmin	CP	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Complement C3	C3	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Complement C3	C3	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Cystatin-C	CST3	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Cystatin-C	CST3	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Fibrinogen alpha chain	FGA	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Fibrinogen alpha chain	FGA	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Haptoglobin	HP	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Haptoglobin	HP	Food Poisoning	C25	Заболевания вследствие воздействия химических веществ
Haptoglobin	HP	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Haptoglobin	HP	Foodborne Disease	C25	Заболевания вследствие воздействия химических веществ
Hemopexin	HPX	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Hemopexin	HPX	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Insulin-like growth factor-binding protein 1	IGFBP1	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Insulin-like growth factor-binding protein 1	IGFBP1	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Plasminogen	PLG	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Plasminogen	PLG	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Serotransferrin	TF	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Serotransferrin	TF	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Transthyretin	TTR	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Transthyretin	TTR	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Angiotensinogen	AGT	Drug Overdose	C25	Заболевания вследствие воздействия химических веществ
Vitamin D-binding protein	GC	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Vitamin D-binding protein	GC	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Afamin	AFM	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Afamin	AFM	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Apolipoprotein E	APOE	Mercury Poisoning	C25	Заболевания вследствие воздействия химических веществ
Clusterin	CLU	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Clusterin	CLU	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Insulin-like growth factor I	IGF1	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Insulin-like growth factor I	IGF1	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Lactotransferrin	LTF	Toxic effect of carbon tetrachloride	C25	Заболевания вследствие воздействия химических веществ
Matrix metalloproteinase-9	MMP9	Lead Poisoning	C25	Заболевания вследствие воздействия химических веществ
Neutrophil gelatinase-associated lipocalin	LCN2	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Neutrophil gelatinase-associated lipocalin	LCN2	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Osteopontin	SPP1	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Osteopontin	SPP1	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Protein AMBP	AMBP	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Protein AMBP	AMBP	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Serum paraoxonase/arylesterase 1	PON1	Organophosphorus Poisoning	C25	Заболевания вследствие воздействия химических веществ
Serum paraoxonase/arylesterase 1	PON1	Organophosphate poisoning	C25	Заболевания вследствие воздействия химических веществ
Serum paraoxonase/arylesterase 1	PON1	Organothiophosphonate Poisoning	C25	Заболевания вследствие воздействия химических веществ
Serum paraoxonase/arylesterase 1	PON1	Organothiophosphate Poisoning	C25	Заболевания вследствие воздействия химических веществ
Thrombomodulin	THBD	Drug toxicity	C25	Заболевания вследствие воздействия химических веществ
Thrombomodulin	THBD	Adverse reaction to drug	C25	Заболевания вследствие воздействия химических веществ
Xaa-Pro dipeptidase	PEPD	Organophosphorus Poisoning	C25	Заболевания вследствие воздействия химических веществ
Xaa-Pro dipeptidase	PEPD	Organophosphate poisoning	C25	Заболевания вследствие воздействия химических веществ
Xaa-Pro dipeptidase	PEPD	Organothiophosphonate Poisoning	C25	Заболевания вследствие воздействия химических веществ
Xaa-Pro dipeptidase	PEPD	Organothiophosphate Poisoning	C25	Заболевания вследствие воздействия химических веществ
Apolipoprotein A-I	APOA1	Drug Eruptions	C25	Заболевания вследствие воздействия химических веществ
Apolipoprotein A-I	APOA1	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Apolipoprotein A-I	APOA1	Morbilliform Drug Reaction	C25	Заболевания вследствие воздействия химических веществ
Apolipoprotein A-I	APOA1	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Apolipoprotein A-I	APOA1	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Apolipoprotein A-I	APOA1	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Apolipoprotein A-I	APOA1	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Apolipoprotein A-I	APOA1	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Biotinidase	BTD	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Biotinidase	BTD	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Biotinidase	BTD	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Biotinidase	BTD	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Biotinidase	BTD	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Biotinidase	BTD	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Substance Withdrawal Syndrome	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Drug Withdrawal Symptoms	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Withdrawal Symptoms	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Arsenic Poisoning, Inorganic	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Nervous System, Organic Arsenic Poisoning	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Arsenic Poisoning	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Arsenic Encephalopathy	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Arsenic Induced Polyneuropathy	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
